2.01121,0.0012915,1.01355,-0.00664471,0.162435,0.00521162,-0.116452,-0.124855,-0.0145467,-0.0868582,0.177884,0.0159307,0.0891627,0.00963245,0.747696,0.0723026,-0.603921,-0.479628,-0.0764372,1.24284
2.0135,0.00148991,1.01464,-0.00643872,0.171273,0.00611935,-0.123337,-0.131768,-0.0154132,-0.0709917,0.201307,0.01704,0.0920987,0.0158024,0.724872,0.0750484,-0.695783,-0.687367,-0.0683582,1.3767
2.01607,0.00170159,1.01576,-0.00613493,0.179846,0.00709958,-0.130412,-0.138744,-0.0164887,-0.053301,0.225522,0.0181567,0.0913764,0.0235819,0.701847,0.076631,-0.502007,-0.649819,-0.104024,1.54059
2.01894,0.00192681,1.01684,-0.005728,0.187828,0.00815184,-0.137192,-0.145298,-0.0175676,-0.0339044,0.251093,0.019281,0.0906999,0.0310446,0.648056,0.08198,-0.49506,-0.551942,-0.0795359,1.68851
2.02213,0.00216522,1.01794,-0.0052345,0.195312,0.00926538,-0.144213,-0.151952,-0.0183733,-0.0127412,0.278421,0.0203544,0.0923328,0.0375085,0.603119,0.0835374,-0.477948,-0.605746,-0.0571117,1.83612
2.02566,0.00241609,1.01907,-0.00465799,0.202324,0.0104312,-0.151173,-0.15816,-0.0189084,0.0103352,0.306841,0.0213468,0.0928492,0.0430978,0.60987,0.0906514,-0.658185,-0.48765,-0.0362565,2.01406
2.02951,0.00267748,1.02007,-0.00400225,0.20855,0.0116165,-0.158149,-0.164695,-0.0191882,0.0347726,0.333026,0.0221524,0.0776931,0.0518809,0.454049,0.0878507,-0.55897,-0.462594,-0.0123412,2.07479
2.0337,0.00294873,1.021,-0.00326788,0.213577,0.0128009,-0.16463,-0.17107,-0.0191817,0.0606293,0.363775,0.0229794,0.0794107,0.0572325,0.398426,0.0860918,-0.518829,-0.463492,0.011832,2.23943
2.03827,0.00322931,1.02197,-0.00247179,0.21781,0.0139679,-0.171093,-0.178283,-0.0188844,0.0884423,0.395614,0.0237076,0.0816566,0.0626995,0.317818,0.0823164,-0.468524,-0.505603,0.0360015,2.38752
2.04322,0.00351768,1.02292,-0.00161351,0.221159,0.0151397,-0.177363,-0.184165,-0.0183052,0.118086,0.426184,0.0242768,0.0744015,0.068535,0.22381,0.0805743,-0.500141,-0.453242,0.0588034,2.52463
2.04853,0.003812,1.02374,-0.000705283,0.22293,0.0162699,-0.183242,-0.189975,-0.0174542,0.149013,0.456914,0.0247255,0.0653968,0.0739592,0.0916047,0.0757339,-0.525037,-0.502191,0.0812361,2.62701
2.05422,0.00411112,1.0245,0.000247295,0.223235,0.0173832,-0.189444,-0.19411,-0.0163217,0.181548,0.489239,0.0250768,0.0614587,0.0794862,-0.0397054,0.0733926,-0.370083,-0.128034,0.10542,2.77974
2.0603,0.00441358,1.0252,0.00123263,0.222131,0.018471,-0.192568,-0.192116,-0.014907,0.216197,0.521074,0.0252879,0.0535539,0.0837511,-0.147985,0.0708959,-0.116255,0.453288,0.128263,2.96769
2.06675,0.00471757,1.02574,0.00222786,0.219185,0.0194742,-0.18942,-0.181608,-0.0132439,0.252819,0.551485,0.0253533,0.0387121,0.0868509,-0.325037,0.0599738,0.615202,1.24211,0.146721,3.1229
2.07357,0.00502171,1.02614,0.00321062,0.214208,0.0203243,-0.176814,-0.16162,-0.0114217,0.291303,0.582746,0.0253152,0.0278484,0.088384,-0.482552,0.044736,1.40369,2.00685,0.161819,3.27278
2.08077,0.00532452,1.02641,0.00415515,0.207298,0.0209421,-0.15516,-0.133032,-0.0094039,0.331214,0.61373,0.0251467,0.0173718,0.0890903,-0.645116,0.0265679,2.11518,2.66998,0.172967,3.36247
